urlid,label
5865,0.8962565222258378
782,0.17106430672297757
6962,0.3696866994906392
7640,0.15131735346013028
3589,0.4594117610618929
6719,0.36192037602961097
3905,0.4093514809172903
9841,0.9511225328468831
7447,0.24968526538614808
4776,0.3526819714698194
2879,0.4737801271599343
2620,0.44702235006718444
10479,0.18254942804410143
1105,0.260211979650059
1849,0.46567634858054807
8286,0.5546558163419478
8344,0.8906902811024012
10486,0.9337716123063099
8661,0.9775431035908414
7188,0.2901731044591012
1433,0.9636228222276756
677,0.7582958358965239
469,0.8465751192593557
6988,0.15742202723948234
8024,0.13655392377194003
6896,0.3885962935307739
9154,0.3563567056535172
342,0.5413755334725364
50,0.26651693663635534
983,0.11942163064057748
6933,0.2787184027413485
8271,0.1818281782924447
5602,0.28715508443559074
4505,0.21769138304811458
4966,0.9170828631042075
2390,0.2655391726623911
6736,0.4838658069108602
4660,0.901474528919009
7560,0.8347276399244943
3840,0.519726749232046
5823,0.7817369565112817
5789,0.934657831547904
1595,0.2251316194969892
6770,0.6101514563624328
3522,0.8881870176750736
5584,0.8394565186137991
8323,0.8339911625168308
3862,0.5674558786758815
373,0.29792886692678633
7345,0.2714927416205294
7708,0.8932741780502589
1398,0.8410183859029655
4298,0.25012030977088073
7467,0.13456528675733748
1878,0.798310894996962
1832,0.31973823892086967
625,0.3996307872179624
7438,0.18211320090139096
9961,0.9213538836780816
7117,0.2737125894986741
8190,0.248499262120534
1713,0.7162777728703213
949,0.21474326201061747
9246,0.18410293809689954
2326,0.24345853636784645
8942,0.18514355330696544
4458,0.5536849386120968
4659,0.44695756372341083
9522,0.24433466924422761
2497,0.8218163047009922
9836,0.4183550985244865
3808,0.9095109157307443
5575,0.8909788510930513
5714,0.33479533818055307
2490,0.7825791749800401
6812,0.35471010877830667
4335,0.14524940541275008
10014,0.9465865730521901
5889,0.7666075023650344
482,0.8929042954853627
8082,0.13275131299776924
5856,0.8960223252763557
8866,0.41908804892711693
2624,0.9429443078428276
1371,0.8077953619525324
4436,0.16444106244192355
2972,0.934905592755997
3638,0.7577333573932054
6249,0.4759598148767029
7602,0.20201634227145135
9624,0.9590857281083807
7567,0.2926374901697479
6578,0.2878503543008181
7590,0.6752148632095362
8590,0.8455748241264407
10520,0.7591959889772719
1906,0.34950698475773506
1373,0.28571263452912005
1601,0.9000015660637085
4754,0.28392077837913476
8208,0.27353088533971487
1658,0.9209335624296601
1352,0.9546603179346256
8143,0.8655884001823189
7760,0.6392738686054478
7836,0.4889358327510372
9769,0.3261373221144161
503,0.7300309811196404
4909,0.18146321867527598
7162,0.2513284067013838
10035,0.6390700337697238
1992,0.5218420444717393
6133,0.2722092656370798
8519,0.2764530862665369
1879,0.40511622937839564
7107,0.3758715530400095
1225,0.6022695659160718
2451,0.6925418327202473
8252,0.1525390394305992
9214,0.6485216652489054
4850,0.92398369147568
5891,0.15664250931468887
5274,0.3992461893604786
8623,0.09238755733625323
562,0.8746442653493278
860,0.22265163318044345
4199,0.8901384072570225
7616,0.2424925031780488
